province,year,total/ten_thousand,urban/ten_thousand,rural/ten_thousand,birth_rate,death_rate,location
Guangxi,2009,"4,856","1,904","2,952",14.17,5.64,West
Hainan,2009,864,425,440,14.66,5.7,East
Chongqing,2009,"2,859","1,475","1,384",9.9,6.2,West
Sichuan,2009,"8,185","3,168","5,017",9.15,6.43,West
Guizhou,2009,"3,537","1,057","2,480",13.65,6.69,West
Yunnan,2009,"4,571","1,554","3,017",12.53,6.45,West
Tibet,2009,296,66,230,15.31,5.07,West
Shaanxi,2009,"3,727","1,621","2,106",10.24,6.24,West
Gansu,2009,"2,555",891,"1,664",13.32,6.71,West
Qinghai,2009,557,234,324,14.51,6.19,West
Ningxia,2009,625,288,337,14.38,4.7,West
Xinjiang,2009,"2,159",860,"1,298",15.99,5.43,West
